Property Name,Latitude,Longitude,Area (hectares),Solar Energy,Number of Cows,Owner Name,Veterinarian,Milk Collection (liters/day)
Property 1,-16.86016,-41.67749,987.37,No,91,Harry Gabriel,Kaitlin Mcgowan,1820
Property 2,-14.01834,-50.97515,933.56,No,27,Christy Parks,Albert Brown,540
Property 3,-12.84497,-44.97297,453.35,Yes,77,Frank Kukowski,Hedwig Brennan,1540
Property 4,-14.28644,-50.07035,399.43,Yes,12,Tonya Mcnulty,Albert Brown,240
Property 5,-19.05953,-42.2955,152.72,No,37,Lucille Mcguire,Kaitlin Mcgowan,740
Property 6,-12.97944,-44.0734,146.09,Yes,74,Catherine Schorr,Hedwig Brennan,1480
Property 7,-17.35688,-51.55249,315.59,Yes,81,Frank Tomson,Mitchel Hench,1620
Property 8,-16.46305,-44.02758,678.96,No,76,Evelyn Taylor,Kaitlin Mcgowan,1520
Property 9,-11.7715,-53.28533,124.59,Yes,94,Tama Gramling,Lucas Turner,1880
Property 10,-15.70435,-49.24545,524.58,No,44,Robert Hart,Jose Salafia,880
Property 11,-13.19274,-45.24588,174.3,No,23,Connie Cunningham,Hedwig Brennan,460
Property 12,-15.62424,-45.00753,705.84,Yes,25,John Cox,Kaitlin Mcgowan,500
Property 13,-12.20868,-52.36391,403.42,No,13,Kathryn Alexander,Lucas Turner,260
Property 14,-15.89613,-53.58811,586.31,No,47,John Dukes,Joann Sandi,940
Property 15,-12.9177,-48.81109,72.2,Yes,100,Bernice Cox,Albert Brown,2000
Property 16,-16.76947,-46.63611,417.36,No,83,Essie Mcmakin,Kaitlin Mcgowan,1660
Property 17,-14.64402,-46.20764,296.45,Yes,72,Renee Rader,Albert Brown,1440
Property 18,-11.23009,-44.03367,549.63,No,98,Adam Obrien,Hedwig Brennan,1960
Property 19,-11.83903,-42.06623,616.48,No,87,Wallace Sly,Jeanine Artrip,1740
Property 20,-16.93886,-50.80188,208.39,No,51,Jeannette Bianco,Mitchel Hench,1020
Property 21,-13.4221,-52.62348,489.75,Yes,79,Edward Fleming,Lucas Turner,1580
Property 22,-18.28139,-49.01726,468.55,Yes,59,Charles Kimmel,Mitchel Hench,1180
Property 23,-11.7796,-46.46489,301.17,No,28,Barbara Bassett,Hedwig Brennan,560
Property 24,-12.55793,-49.78183,629.05,No,49,Sheryl Preston,Albert Brown,980
Property 25,-16.21521,-43.91211,458.21,No,4,Scott Jackson,Kaitlin Mcgowan,80
Property 26,-16.78406,-43.6636,876.07,No,7,Karyn Bailey,Kaitlin Mcgowan,140
Property 27,-16.59069,-47.17158,617.17,No,93,Richard Barr,Jose Salafia,1860
Property 28,-11.35556,-40.90685,295.07,No,71,Michael Ross,Jeanine Artrip,1420
Property 29,-12.65302,-51.47684,829.75,No,43,Kristi Kirkwood,Albert Brown,860
Property 30,-18.42232,-48.9571,413.84,Yes,54,Sara Seaney,Mitchel Hench,1080
Property 31,-14.41673,-40.56597,526.74,No,68,James Carter,Jeanine Artrip,1360
Property 32,-17.31526,-45.53003,902.43,No,78,Brandy Durham,Kaitlin Mcgowan,1560
Property 33,-14.79471,-48.20948,506.88,No,85,Brian Yedinak,Albert Brown,1700
Property 34,-14.54586,-50.06934,362.21,Yes,26,Tony Lopez,Albert Brown,520
Property 35,-14.33425,-41.41708,641.79,Yes,11,Bernard Blatt,Jeanine Artrip,220
Property 36,-19.67368,-43.67732,644.82,Yes,35,George Fernandez,Kaitlin Mcgowan,700
Property 37,-16.48988,-47.759,499.77,No,8,Carlos Lau,Jose Salafia,160
Property 38,-14.35936,-48.17347,321.36,Yes,58,Ruby Carroll,Albert Brown,1160
Property 39,-13.88616,-43.19765,861.07,Yes,43,Margo Allen,Hedwig Brennan,860
Property 40,-12.42485,-54.08112,84.45,No,35,Trey Jepson,Lucas Turner,700
Property 41,-12.55171,-49.15254,577.45,Yes,23,Robert Martinez,Albert Brown,460
Property 42,-18.80205,-46.02228,91.2,No,17,Leslie Mucci,Kaitlin Mcgowan,340
Property 43,-15.58243,-51.92444,724.72,No,45,Melissa Weiss,Mitchel Hench,900
Property 44,-13.23562,-47.98495,66.56,Yes,98,Gary Woods,Albert Brown,1960
Property 45,-15.65898,-48.69319,270.95,Yes,33,Mamie Flatley,Jose Salafia,660
Property 46,-16.92696,-45.31239,411.42,Yes,47,Paul Daniels,Kaitlin Mcgowan,940
Property 47,-15.23894,-46.35229,476.4,Yes,66,Richard Good,Jose Salafia,1320
Property 48,-12.28688,-43.77217,713.48,No,54,Joshua Grable,Hedwig Brennan,1080
Property 49,-16.27834,-48.76999,970.82,Yes,29,Richard Peters,Jose Salafia,580
Property 50,-16.34956,-47.21951,628.93,Yes,58,Tania Munoz,Jose Salafia,1160
Property 51,-14.16621,-48.84789,680.32,Yes,85,Toya Marshall,Albert Brown,1700
Property 52,-10.3542,-44.15718,510.53,Yes,77,Lola Nolen,Williams Snyder,1540
Property 53,-18.94556,-43.7797,418.27,Yes,3,Marion Belz,Kaitlin Mcgowan,60
Property 54,-13.28922,-47.16843,725.69,No,82,Esther Manery,Albert Brown,1640
Property 55,-16.51463,-44.72585,450.81,Yes,3,Diane Marshall,Kaitlin Mcgowan,60
Property 56,-16.81602,-49.19455,633.9,Yes,31,Michael King,Jose Salafia,620
Property 57,-13.86244,-53.41823,326.17,Yes,83,Catherine Paulseth,Lucas Turner,1660
Property 58,-10.79494,-50.92028,413.58,No,12,Philip Melendez,Cindy Lopez,240
Property 59,-16.79303,-48.78846,263.06,Yes,86,Mary Spannuth,Jose Salafia,1720
Property 60,-14.60156,-51.67268,866.72,Yes,38,Debra Sharp,Albert Brown,760
Property 61,-16.71825,-43.67562,189.01,No,49,Evelyn Erlebach,Kaitlin Mcgowan,980
Property 62,-15.68046,-44.81825,797.94,Yes,14,Robert Lampl,Kaitlin Mcgowan,280
Property 63,-10.8209,-42.19937,603.93,No,30,Sara Johnson,Jeanine Artrip,600
Property 64,-14.69623,-51.10747,56.46,Yes,12,Paul Palmieri,Albert Brown,240
Property 65,-14.53852,-46.22283,995.79,No,70,Mike Porterfield,Albert Brown,1400
Property 66,-12.95751,-52.61141,731.34,No,85,Louise Steele,Lucas Turner,1700
Property 67,-11.81821,-49.98289,107.85,Yes,30,John Grissom,Cindy Lopez,600
Property 68,-15.82926,-45.66332,607.61,No,39,Rosie Hernandez,Kaitlin Mcgowan,780
Property 69,-14.81872,-43.20772,970.57,Yes,11,William Strunk,Kaitlin Mcgowan,220
Property 70,-13.2855,-46.98267,503.11,Yes,58,Shari Tate,Albert Brown,1160
Property 71,-13.66532,-45.99305,812.16,No,56,Drew Bonner,Albert Brown,1120
Property 72,-12.37313,-45.03449,602.92,Yes,47,Paula Ludwick,Hedwig Brennan,940
Property 73,-17.01654,-42.21047,94.88,Yes,59,Justin White,Kaitlin Mcgowan,1180
Property 74,-17.11361,-50.22522,276.24,No,83,Lucille Jones,Mitchel Hench,1660
Property 75,-14.46826,-44.11194,192.67,Yes,91,Larry Holcomb,Kaitlin Mcgowan,1820
Property 76,-10.92752,-46.51518,708.65,Yes,39,William Plackett,Cindy Lopez,780
Property 77,-14.72708,-48.26448,339.86,No,99,Cristina Hooten,Albert Brown,1980
Property 78,-13.41321,-49.64808,736.89,No,53,Mildred Keitt,Albert Brown,1060
Property 79,-17.84481,-50.26457,733.22,Yes,29,Diane Harvey,Mitchel Hench,580
Property 80,-16.98371,-43.09146,289.23,No,23,Dolores Hachting,Kaitlin Mcgowan,460
Property 81,-15.73304,-45.76693,176.19,Yes,4,Antonette Buskey,Kaitlin Mcgowan,80
Property 82,-11.17033,-49.1283,490.37,No,62,Roger Foster,Cindy Lopez,1240
Property 83,-18.95728,-47.74038,347.76,No,15,Jennifer Cannady,Mitchel Hench,300
Property 84,-13.58979,-50.39879,369.06,No,71,Minnie Parris,Albert Brown,1420
Property 85,-14.23089,-45.54235,689.43,Yes,20,Roland Schepis,Albert Brown,400
Property 86,-14.56865,-48.82298,554.31,Yes,18,Martha Morris,Albert Brown,360
Property 87,-14.86046,-43.04144,596.17,Yes,18,Joann Andrus,Kaitlin Mcgowan,360
Property 88,-14.47135,-51.90106,78.41,No,9,James Rentschler,Albert Brown,180
Property 89,-15.42162,-46.37067,845.71,No,69,Laila Jeffries,Jose Salafia,1380
Property 90,-12.74374,-48.58103,793.31,No,3,Treva Hoyt,Albert Brown,60
Property 91,-19.09447,-46.7656,613.6,Yes,16,Louis Fleming,Kaitlin Mcgowan,320
Property 92,-14.77486,-48.74315,707.42,Yes,6,Mark Dejesus,Albert Brown,120
Property 93,-15.02587,-47.99196,107.33,Yes,59,Arthur Ferguson,Albert Brown,1180
Property 94,-17.63886,-41.93083,28.08,No,9,Dina Loyd,Kaitlin Mcgowan,180
Property 95,-13.57739,-49.26618,501.09,Yes,67,Betty Alteri,Albert Brown,1340
Property 96,-14.84085,-48.02188,40.53,No,21,Patricia Rubinstein,Albert Brown,420
Property 97,-14.49865,-44.19687,230.29,Yes,75,Armando Allison,Kaitlin Mcgowan,1500
Property 98,-15.00813,-43.70353,400.09,No,23,Richard Truitt,Kaitlin Mcgowan,460
Property 99,-14.54091,-50.1309,919.32,Yes,93,Amy Marshall,Albert Brown,1860
Property 100,-15.00998,-50.20875,257.64,No,38,Paula Bell,Albert Brown,760
Property 101,-13.7272,-49.09322,913.57,No,13,Flora Norman,Albert Brown,260
Property 102,-15.97696,-48.58046,273.21,No,51,Gary Clemons,Jose Salafia,1020
Property 103,-17.64046,-51.30381,977.13,Yes,100,Robert Brown,Mitchel Hench,2000
Property 104,-13.37588,-50.24647,19.01,No,60,Hilda Reta,Albert Brown,1200
Property 105,-17.32612,-43.98873,323.53,No,22,Ellen Johnson,Kaitlin Mcgowan,440
Property 106,-17.92356,-44.74601,494.27,Yes,47,Amelia Dodge,Kaitlin Mcgowan,940
Property 107,-15.08898,-47.26896,486.2,Yes,94,Daniel Gouty,Albert Brown,1880
